"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"STRAVVS.nlogo"
"system2"
"09/14/2026 14:09:40:205 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-file","input-file?","[step]","table:get things-ordered ""A""","table:get things-ordered ""B""","table:get things-ordered ""C""","table:get things-ordered ""D""","table:get things-ordered ""E""","table:get things-ordered ""F""","table:get things-made ""A""","table:get things-made ""B""","table:get things-made ""C""","table:get things-made ""D""","table:get things-made ""E""","table:get things-made ""F""","table:get things-delivered ""A""","table:get things-delivered ""B""","table:get things-delivered ""C""","table:get things-delivered ""D""","table:get things-delivered ""E""","table:get things-delivered ""F""","table:get things-imported ""A""","table:get things-imported ""B""","table:get things-imported ""C""","table:get things-imported ""D""","table:get things-imported ""E""","table:get things-imported ""F""","table:get things-consumed ""A""","table:get things-consumed ""B""","table:get things-consumed ""C""","table:get things-consumed ""D""","table:get things-consumed ""E""","table:get things-consumed ""F""","table:get things-run ""Process1""","table:get things-run ""Process2"""
"5","system2/inits.txt","true","4","10","5","4","4","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","6","<WrappedExtensionException>","<WrappedExtensionException>","1","10","5","6","4","<WrappedExtensionException>","1","10","5","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","1","4","1"
"3","system2/inits.txt","true","3","22","11","8","12","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","9","<WrappedExtensionException>","<WrappedExtensionException>","1","22","11","9","12","<WrappedExtensionException>","3","22","11","<WrappedExtensionException>","12","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","3","8","4"
"4","system2/inits.txt","true","4","4","2","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","4","4","2","4","8","<WrappedExtensionException>","4","4","2","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","5","4"
"2","system2/inits.txt","true","4","8","4","6","8","2","2","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","4","8","4","4","8","2","4","8","4","<WrappedExtensionException>","8","2","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","3","5","7"
"5","system2/inits.txt","true","5","6","3","5","6","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","5","<WrappedExtensionException>","<WrappedExtensionException>","3","6","3","5","6","<WrappedExtensionException>","3","6","3","<WrappedExtensionException>","6","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","3","4","3"
"6","system2/inits.txt","true","3","16","8","8","12","1","2","<WrappedExtensionException>","<WrappedExtensionException>","12","<WrappedExtensionException>","<WrappedExtensionException>","5","16","8","12","12","1","5","16","8","<WrappedExtensionException>","12","1","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","5","8","7"
"4","system2/inits.txt","true","5","4","2","4","4","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","6","<WrappedExtensionException>","<WrappedExtensionException>","2","4","2","6","4","<WrappedExtensionException>","2","4","2","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","2","3","3"
"8","system2/inits.txt","true","3","16","8","8","12","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","9","<WrappedExtensionException>","<WrappedExtensionException>","2","16","8","9","12","<WrappedExtensionException>","2","16","8","<WrappedExtensionException>","12","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","2","7","4"
"5","system2/inits.txt","true","6","6","3","4","4","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","2","6","3","4","4","<WrappedExtensionException>","2","6","3","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","2","3","2"
"3","system2/inits.txt","true","4","18","9","9","14","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","15","<WrappedExtensionException>","<WrappedExtensionException>","5","18","9","15","14","<WrappedExtensionException>","5","18","9","<WrappedExtensionException>","14","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","5","12","9"
